,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,Unnamed: 0,War,Western,\N,endYear,genre,genres,isAdult,new_title,originalTitle,primaryTitle,runtimeMinutes,startYear,tconst,titleType,total,year
4989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354318.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,from sao paulo to juneau in a vw bug,"From Sao Paulo to Juneau, in a VW Bug","From Sao Paulo to Juneau, in a VW Bug",\N,2018,tt8059720,movie,1.0,2018.0
4990,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354454.0,0.0,0.0,0.0,\N,['Comedy'],Comedy,0.0,vo e a mae,Vó é a Mãe,Vó é a Mãe,\N,2018,tt8070606,movie,1.0,2018.0
4991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354553.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,a grande nuvem cinza,A Grande Nuvem Cinza,The Great Grey Cloud,72,2016,tt8077978,movie,1.0,2016.0
4992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354558.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,choro novo,Choro Novo,Choro Novo,\N,2000,tt8078956,movie,1.0,2000.0
4993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354564.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,o que nos olha,O que nos olha,O que nos olha,70,2017,tt8079500,movie,1.0,2017.0
4994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354565.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,silencio das inocentes,Silêncio das Inocentes,Silêncio das Inocentes,\N,2010,tt8079502,movie,1.0,2010.0
4995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354603.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,mapas afetivos sao paulo,Mapas Afetivos: São Paulo,Mapas Afetivos: São Paulo,52,2018,tt8083292,movie,1.0,2018.0
4996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354830.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,unfamiliar ceiling the beast,Unfamiliar Ceiling: The Beast,Unfamiliar Ceiling: The Beast,71,2018,tt8103632,movie,1.0,2018.0
4997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,354839.0,0.0,0.0,0.0,\N,"['Comedy', 'Drama', 'Romance']","Comedy,Drama,Romance",0.0,what if,What if,What if,70,2017,tt8104138,movie,3.0,2017.0
4998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354855.0,0.0,0.0,0.0,\N,"['Biography', 'Documentary', 'History']","Biography,Documentary,History",0.0,clandestine soul,Clandestine Soul,Clandestine Soul,100,2018,tt8105738,movie,3.0,2018.0
4999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354895.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,cinemagia a historia das videolocadoras de sao paulo,CineMagia: A História das Videolocadoras de São Paulo,CineMagia: A História das Videolocadoras de São Paulo,100,2017,tt8108026,movie,1.0,2017.0
5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354939.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,frei damiao o santo do nordeste,"Frei Damião, O Santo do Nordeste","Frei Damião, O Santo do Nordeste",90,2019,tt8110210,movie,1.0,2019.0
5001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354961.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,right there south africa,Right There: South Africa,Right There: South Africa,72,2018,tt8111364,movie,1.0,2018.0
5002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355115.0,0.0,0.0,0.0,\N,['Fantasy'],Fantasy,0.0,imo,Imo,Imo,71,2018,tt8125376,movie,1.0,2018.0
5003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355218.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,a alma roqueira de noel,A Alma Roqueira de Noel,A Alma Roqueira de Noel,70,2011,tt8133136,movie,1.0,2011.0
5004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355224.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,carnival no meu quintal,"Carnival, No meu quintal","Carnival, No meu quintal",\N,2011,tt8133880,movie,1.0,2011.0
5005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355228.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,cutback o surfista que mudou a propria historia,"Cutback, O Surfista que Mudou a Própria História","Cutback, O Surfista que Mudou a Própria História",\N,2012,tt8134236,movie,1.0,2012.0
5006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355229.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,brasil! documentario copa do mundo fifa 2014,Brasil! Documentario Copa do Mundo FIFA 2014,Brasil! Documentario Copa do Mundo FIFA 2014,\N,2014,tt8134300,movie,1.0,2014.0
5008,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355412.0,0.0,0.0,0.0,\N,['Comedy'],Comedy,0.0,uma pitada de sorte,Uma Pitada de Sorte,Uma Pitada de Sorte,\N,2019,tt8147518,movie,1.0,2019.0
5009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355499.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,camocim,Camocim,Camocim,76,2017,tt8156548,movie,1.0,2017.0
5010,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355510.0,0.0,0.0,0.0,\N,"['Biography', 'Drama']","Biography,Drama",0.0,minha fama de mau,Minha Fama de Mau,Minha Fama de Mau,116,2019,tt8157400,movie,2.0,2019.0
5011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355581.0,0.0,0.0,0.0,\N,['Drama'],Drama,0.0,santo antonio e a vaca,Santo Antônio e a Vaca,Santo Antônio e a Vaca,\N,1960,tt8162002,movie,1.0,1960.0
5012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355640.0,0.0,0.0,0.0,\N,['Drama'],Drama,0.0,o sussurro do jaguar,O Sussurro do Jaguar,The Whisper of the Jaguar,80,2018,tt8167820,movie,1.0,2018.0
5013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355650.0,0.0,0.0,0.0,\N,['Drama'],Drama,0.0,mormaco,Mormaço,Mormaço,94,2018,tt8169178,movie,1.0,2018.0
5014,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355662.0,0.0,0.0,0.0,\N,"['Adventure', 'Comedy', 'Family']","Adventure,Comedy,Family",0.0,turma da monica lacos,Turma da Mônica: Laços,Turma da Mônica: Laços,97,2019,tt8169552,movie,3.0,2019.0
